Vehicle ID,Model Code,OEM Model,OEM Variant,Custom Model,Custom Variant,Display Name,Segment,Sub Segment,Colour Code,Colour,Fuel,Seating,Wheels,Transmission,Drivetrain,Body Make,Body Type,CC,GVW,Permit,Taxi Price,Status
906,AW62AYZT7TF05A00WQ,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,WQ,EVEREST WHITE,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
907,AW62AYZT7TF05A00RA,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,RA,RA,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
908,AW62AYZT7TF05A00SF,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,SF,DAZZLING SILVER,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
909,AW62AYZT7TF05A00BZ,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,BZ,MIDNIGHT BLACK,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
910,AW62AYZT7TF05A00BA,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,BA,BA,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
1462,AW62AYZT7TF05A00CM,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,CM,CM,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
1463,AW62AYZT7TF05A00JD,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,JD,DEEP FOREST,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
4611,AW62BJZT7TF05A00XJ,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,XJ,STEALTH BLACK,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5271,AW62AYZT7TF10A00WQ,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,WQ,EVEREST WHITE,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5272,AW62AYZT7TF10A00SG,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 - NEW,PERSONAL,XUV,SG,SG,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
